"model_id","label","contrast_group","family","covariance","fit_n","reference_n","fitted_null_ages","n_isolated_roots","has_zero_intervals","unique_regular_interior_root","full_95_fixed_null_age_set","fixed_null_age_set_components","full_95_simultaneous_outer_set","simultaneous_outer_set_components","simultaneous_strict_negative_intervals","simultaneous_strict_positive_intervals","simultaneous_reversal","omnibus_age_interaction_statistic","omnibus_df","omnibus_p","omnibus_log_p","age_knots","comparison","formula"
"broad_main","Broader early-smoking comparison,2016-2024","broader_early_smoking","original_16_models","HC0",29547867,29547867,"29.380776",1,FALSE,TRUE,"[29.074, 29.672]",1,"[28.850, 29.868]",1,"[15.000, 28.850)","(29.868, 44.000]",TRUE,2021.8471417313,4,0,-1004.00396254151,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
"broad_main","Broader early-smoking comparison,2016-2024","broader_early_smoking","original_16_models","model",29547867,29547867,"29.380776",1,FALSE,TRUE,"[29.076, 29.670]",1,"[28.853, 29.865]",1,"[15.000, 28.853)","(29.865, 44.000]",TRUE,2061.70764035319,4,0,-1023.9147078877,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
"primary_main","Within-smoker full adjustment,2016-2024","within_prepregnancy_smokers","original_16_models","HC0",1979858,1979858,"31.809667",1,FALSE,TRUE,"[15.000, 15.090] U [30.997, 32.816] U [42.707, 44.000]",3,"[15.000, 16.559] U [30.446, 33.796] U [40.560, 44.000]",3,"(16.559, 30.446)","(33.796, 40.560)",TRUE,225.200302462264,4,1.42480217159769e-47,-107.867466393586,"21,27,35","Reference full-main complete-case analysis","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_main","Within-smoker full adjustment,2016-2024","within_prepregnancy_smokers","original_16_models","model",1979858,1979858,"31.809667",1,FALSE,TRUE,"[15.000, 15.122] U [31.000, 32.807] U [42.777, 44.000]",3,"[15.000, 16.585] U [30.451, 33.779] U [40.625, 44.000]",3,"(16.585, 30.451)","(33.779, 40.625)",TRUE,226.988915304153,4,5.87175301338962e-48,-108.753931235039,"21,27,35","Reference full-main complete-case analysis","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
"primary_core_same_cc","Core adjustment, same primary CC records","within_prepregnancy_smokers","original_16_models","HC0",1979858,1979858,"32.966731",1,FALSE,TRUE,"[15.000, 15.233] U [32.153, 34.065] U [42.280, 44.000]",3,"[15.000, 16.508] U [31.667, 35.114] U [40.130, 44.000]",3,"(16.508, 31.667)","(35.114, 40.130)",TRUE,260.364434039995,4,3.8058921094927e-55,-125.30562969368,"21,27,35","Same records/reference; adjustment differs; no paired root-difference CI","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"primary_core_same_cc","Core adjustment, same primary CC records","within_prepregnancy_smokers","original_16_models","model",1979858,1979858,"32.966731",1,FALSE,TRUE,"[15.000, 15.265] U [32.158, 34.058] U [42.324, 44.000]",3,"[15.000, 16.537] U [31.674, 35.101] U [40.175, 44.000]",3,"(16.537, 31.674)","(35.101, 40.175)",TRUE,261.994610784895,4,1.69495506627594e-55,-126.114523883763,"21,27,35","Same records/reference; adjustment differs; no paired root-difference CI","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"primary_augmented_same_cc","Core plus BMI/education, same primary CC records","within_prepregnancy_smokers","original_16_models","HC0",1979858,1979858,"31.549487",1,FALSE,TRUE,"[15.000, 15.071] U [30.769, 32.467] U [43.560, 44.000]",3,"[15.000, 16.548] U [30.224, 33.323] U [41.153, 44.000]",3,"(16.548, 30.224)","(33.323, 41.153)",TRUE,242.914051460904,4,2.18709498045958e-51,-116.649265572379,"21,27,35","Same records/reference; adjustment differs; no paired root-difference CI","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"primary_augmented_same_cc","Core plus BMI/education, same primary CC records","within_prepregnancy_smokers","original_16_models","model",1979858,1979858,"31.549487",1,FALSE,TRUE,"[15.000, 15.103] U [30.772, 32.461] U [43.635, 44.000]",3,"[15.000, 16.574] U [30.227, 33.308] U [41.218, 44.000]",3,"(16.574, 30.227)","(33.308, 41.218)",TRUE,244.812616751732,4,8.53007958395522e-52,-117.590826144341,"21,27,35","Same records/reference; adjustment differs; no paired root-difference CI","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
"primary_core_available","Core-available fitting records, fixed main CC reference","within_prepregnancy_smokers","original_16_models","HC0",2031291,1979858,"32.746832",1,FALSE,TRUE,"[15.000, 15.238] U [31.997, 33.731] U [42.196, 44.000]",3,"[15.000, 16.510] U [31.540, 34.663] U [40.253, 44.000]",3,"(16.510, 31.540)","(34.663, 40.253)",TRUE,276.94607568834,4,1.01487845338465e-58,-133.535166538691,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
"primary_core_available","Core-available fitting records, fixed main CC reference","within_prepregnancy_smokers","original_16_models","model",2031291,1979858,"32.746832",1,FALSE,TRUE,"[15.000, 15.272] U [32.002, 33.724] U [42.237, 44.000]",3,"[15.000, 16.540] U [31.548, 34.651] U [40.295, 44.000]",3,"(16.540, 31.548)","(34.651, 40.295)",TRUE,278.549753947609,4,4.57793222739851e-59,-134.331273069204,"21,27,35","Changed population/model; descriptive stability only","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 44), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
