"age","target_n","risk0","risk1","rd","rr","se_risk0","se_risk1","se_rd","se_log_rr","risk0_lower","risk0_upper","risk1_lower","risk1_upper","rd_lower","rd_upper","rr_lower","rr_upper","risk0_per1000","risk1_per1000","rd_per1000","risk0_lower_per1000","risk0_upper_per1000","risk1_lower_per1000","risk1_upper_per1000","rd_lower_per1000","rd_upper_per1000","rd_bonferroni_lower_per1000","rd_bonferroni_upper_per1000","sparse_age_arm","contrast","covariance"
15,1199,0.0734404297710499,0.0660305102503666,-0.00740991952068325,0.899102993490321,0.00336729045256499,0.00210673551138022,0.00396941801971456,0.0558208942137123,0.0671076221183278,0.0803193985230981,0.0620194299188144,0.0702815679056164,-0.0151898358789081,0.000369996837541593,0.805924971070068,1.00305390938554,73.4404297710499,66.0305102503666,-7.40991952068325,67.1076221183278,80.3193985230981,62.0194299188144,70.2815679056164,-15.1898358789081,0.369996837541593,-19.8896915258026,5.06985248443609,FALSE,"primary","HC0"
16,4170,0.0746618017128306,0.0663652517528776,-0.00829654995995302,0.888878251400043,0.00267475717581756,0.00166013727856454,0.00314579203108502,0.0436610351522686,0.0695856430670755,0.0800763880539548,0.0631846026671307,0.0696941001166788,-0.0144621890437328,-0.00213091087617328,0.815977041909114,0.968292617600389,74.6618017128306,66.3652517528776,-8.29654995995302,69.5856430670755,80.0763880539548,63.1846026671307,69.6941001166788,-14.4621890437328,-2.13091087617328,-18.1868580929033,1.59375817299726,FALSE,"primary","HC0"
17,11232,0.0764526841943331,0.0672535379842364,-0.00919914621009665,0.879675301043537,0.00201976831088636,0.00124576875451485,0.00237093641357583,0.0322350855449993,0.0725868243065035,0.0805065608949335,0.0648526198080808,0.0697367124995179,-0.0138460961903398,-0.00455219622985347,0.825817047279464,0.937046090069592,76.4526841943331,67.2535379842364,-9.19914621009665,72.5868243065035,80.5065608949335,64.8526198080808,69.7367124995179,-13.8460961903398,-4.55219622985347,-16.6533235562733,-1.74496886392001,FALSE,"primary","HC0"
18,29922,0.0795444104319302,0.0693544458879809,-0.0101899645439493,0.871895907096208,0.00145496047130345,0.00089410400736631,0.00170897367065871,0.0223950357628135,0.0767390356565483,0.0824431843416287,0.0676223922086092,0.0711274793479987,-0.0135394913889676,-0.00684043769893105,0.834453133758159,0.911018776318049,79.5444104319302,69.3544458879809,-10.1899645439493,76.7390356565483,82.4431843416287,67.6223922086092,71.1274793479987,-13.5394913889676,-6.84043769893105,-15.5629440756204,-4.81698501227828,FALSE,"primary","HC0"
19,60774,0.0822695345147566,0.0712305485254509,-0.0110389859893057,0.86581927253611,0.00101695652805297,0.000624142643777296,0.00119503461841459,0.0151763540602982,0.0802981906008079,0.0842848402103933,0.0700169081403989,0.0724635864241015,-0.0133812108016768,-0.0086967611769345,0.840444641734313,0.891960011962264,82.2695345147566,71.2305485254509,-11.0389859893057,80.2981906008079,84.2848402103933,70.0169081403989,72.4635864241015,-13.3812108016768,-8.6967611769345,-14.7961512719663,-7.28182070664507,FALSE,"primary","HC0"
20,82205,0.0817620645624278,0.0704407856599048,-0.011321278902523,0.861533842581985,0.000774753653570377,0.000470320765905528,0.000909690291739807,0.0116373001355872,0.0802563636230527,0.0832934559246221,0.0695245299356189,0.0713681904328578,-0.0131042391114188,-0.00953831869362725,0.842105791427533,0.881410114346606,81.7620645624278,70.4407856599048,-11.321278902523,80.2563636230527,83.2934559246222,69.5245299356189,71.3681904328578,-13.1042391114188,-9.53831869362725,-14.1813272470911,-8.46123055795494,FALSE,"primary","HC0"
21,96740,0.0811233524027495,0.0697588339123874,-0.0113645184903621,0.859910640354935,0.000731416123051643,0.000438270223469103,0.000857221483806794,0.011051524337993,0.0797013023791022,0.0825684985818332,0.0689047168785561,0.0706227352224794,-0.0130446417253974,-0.00968439525532684,0.841484747090109,0.878740003253382,81.1233524027495,69.7588339123874,-11.3645184903621,79.7013023791022,82.5684985818332,68.9047168785561,70.6227352224794,-13.0446417253974,-9.68439525532684,-14.0596059371028,-8.66943104362148,FALSE,"primary","HC0"
22,110682,0.0798667752766716,0.0687653537967677,-0.0111014214799039,0.861000754801396,0.000710565472010904,0.00042483217196846,0.00083271609800233,0.0108988252710145,0.0784851345218171,0.0812705931991409,0.0679373525207478,0.0696026929300006,-0.0127335150413352,-0.00946932791847262,0.842803703396916,0.879590700397587,79.8667752766716,68.7653537967677,-11.1014214799039,78.4851345218171,81.2705931991409,67.9373525207478,69.6026929300006,-12.7335150413352,-9.46932791847262,-13.7194644767483,-8.4833784830595,FALSE,"primary","HC0"
23,119247,0.079156048694241,0.0684813553607576,-0.0106746933334834,0.86514368125275,0.000650285662640985,0.00038980454811788,0.000763351099791079,0.0100670344997612,0.0778908546800899,0.0804400007227867,0.067721289663837,0.0692493179617978,-0.012170833996633,-0.00917855267033385,0.848240813432184,0.882383371984965,79.156048694241,68.4813553607576,-10.6746933334834,77.8908546800899,80.4400007227867,67.7212896638369,69.2493179617978,-12.170833996633,-9.17855267033385,-13.0746541433391,-8.27473252362776,FALSE,"primary","HC0"
24,125425,0.0788332024459232,0.068745039036947,-0.0100881634089762,0.872031541330617,0.000575351241367847,0.000342873267009431,0.000675659449168449,0.00892211884032299,0.0777128842977109,0.0799682708682075,0.0680760543864894,0.0694201080977328,-0.0114124315951606,-0.00876389522279191,0.85691485640771,0.887414897045085,78.8332024459232,68.745039036947,-10.0881634089762,77.7128842977109,79.9682708682075,68.0760543864893,69.4201080977328,-11.4124315951606,-8.76389522279191,-12.2124233979338,-7.96390342001869,FALSE,"primary","HC0"
