source_id,type,year,expected_bytes,url,relative_path,mirror_url
fetal_zip_2018,fetal_zip,2018,2663640,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2018US_COD.zip,data/raw/fetal_death/Fetal2018US_COD.zip,
fetal_zip_2019,fetal_zip,2019,2561768,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2019US_COD.zip,data/raw/fetal_death/Fetal2019US_COD.zip,
fetal_zip_2020,fetal_zip,2020,2394147,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2020US_COD.zip,data/raw/fetal_death/Fetal2020US_COD.zip,
fetal_zip_2021,fetal_zip,2021,2438276,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2021US_COD.zip,data/raw/fetal_death/Fetal2021US_COD.zip,
fetal_zip_2022,fetal_zip,2022,2270485,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2022US_COD.zip,data/raw/fetal_death/Fetal2022US_COD.zip,
fetal_zip_2023,fetal_zip,2023,2219550,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2023US_COD.zip,data/raw/fetal_death/Fetal2023US_COD.zip,
fetal_zip_2024,fetal_zip,2024,1925286,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/fetaldeathus/Fetal2024US_COD.zip,data/raw/fetal_death/Fetal2024US_COD.zip,
linked_zip_2018,linked_zip,2018,451827431,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2018PE2017CO.zip,data/raw/linked_birth_infant_death/2018PE2017CO.zip,https://data.nber.org/nvss/period-cohort-linked/inputs/raw/2018/2018PE2017CO.zip
linked_zip_2019,linked_zip,2019,447265743,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2019PE2018CO.zip,data/raw/linked_birth_infant_death/2019PE2018CO.zip,https://data.nber.org/nvss/period-cohort-linked/inputs/raw/2019/2019PE2018CO.zip
linked_zip_2020,linked_zip,2020,438388388,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/period-cohort-linked/2020PE2019CO.zip,data/raw/linked_birth_infant_death/2020PE2019CO.zip,https://data.nber.org/nvss/period-cohort-linked/inputs/raw/2020/2020PE2019CO.zip
