age,target_n,rr,rr_lower,rr_upper,contrast,label,evalue_point,evalue_ci_limit,direction,interpretation
,1980559,0.944302572898687,0.934335079561714,0.954376399526142,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.30890570350376,1.27161235144485,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
15,1199,0.900217954534767,0.807001673280925,1.00420159275761,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.46173818798927,1,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
16,4170,0.889648551242022,0.816728582292434,0.969079032970144,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.49743613204211,1.21336191046038,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
17,11232,0.880127199517118,0.826256165241691,0.937510568654283,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.52958176600498,1.33329575536628,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
18,29922,0.872074203562312,0.834619102447102,0.911210172747085,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.55682527150702,1.42445317018472,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
19,60774,0.865783842323519,0.840405348945988,0.891928713410237,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.57817132576919,1.48974010560062,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
20,82205,0.8613566316595,0.841949472247753,0.88121113126071,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.59324070858004,1.52591991088315,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
21,96740,0.859676954587837,0.841288050151089,0.878467804358674,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.59896943868564,1.53518964960185,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
22,110682,0.860801572260859,0.842631013552196,0.879363962267533,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.59513307051765,1.5321607974085,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
23,119247,0.865044123188789,0.848147854680039,0.88227698853964,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.5806863208496,1.52231996176943,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
24,125425,0.872062634252975,0.85694682220761,0.887445076348035,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.55686447089032,1.50487291841913,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
25,130505,0.881979537843989,0.867840033082431,0.896349414087942,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.5233245280941,1.47481338171507,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
26,131877,0.894344887373548,0.879575912300309,0.909361848574719,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.4815831593867,1.43074146891589,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
27,130884,0.909044489805808,0.892944566795519,0.925434696816443,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.43182025415252,1.37564161537471,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
28,126880,0.925912880655673,0.909254802920033,0.942876144080688,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.37398400885375,1.31407076362077,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
29,120282,0.944425992278877,0.928160288391461,0.960976747278974,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.30845763479912,1.24617275450677,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
30,111577,0.963818703144871,0.948179447473452,0.979715912433199,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.23489388086898,1.16607498290991,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
31,102027,0.983552029510279,0.967871513893869,0.999486585633582,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.14711739433523,1.02318396616926,inverse,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
32,91764,1.00295821309549,0.986056994154606,1.02014912239238,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.05742805906744,1,positive,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
33,81398,1.02130141682097,1.00224870180183,1.04071632332906,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.1687977461975,1.04972246783765,positive,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
34,70747,1.03780519556718,1.01657158693242,1.05948232056758,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.2358820200042,1.14636451596123,positive,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
35,59784,1.05178279376642,1.02905618742772,1.07501131500731,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.28515856692352,1.20197365171503,positive,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
36,50300,1.06251707531662,1.03924563578543,1.0863096235051,primary,T1 smoking vs abstinence among women who smoked before pregnancy,1.32024844714156,1.2412007191917,positive,"Minimum strength, on the risk-ratio scale, that an unmeasured factor would need with both exposure and outcome (confounding) or with both selection and outcome (selection; Smith and VanderWeele 2019) to move the estimate to the null. Algebraic benchmark, not a validated causal bound."
