contrast,age,cases,noncases,recorded_exposed_cases,recorded_exposed_noncases,crude_rr,exposure_prevalence_cases,exposure_prevalence_noncases,required_sensitivity_ratio_cases_to_noncases,interpretation
primary,15,79,1120,56,778,1.0656,0.70886,0.69464,1.0205,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,16,260,3910,169,2706,0.8365,0.65,0.69207,0.9392,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,17,765,10467,529,7476,0.9036,0.6915,0.71424,0.9682,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,18,2169,27753,1496,19963,0.8767,0.68972,0.71931,0.9589,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,19,4627,56147,3023,39819,0.7888,0.65334,0.70919,0.9212,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,20,6101,76104,4011,54479,0.7781,0.65743,0.71585,0.9184,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,21,7056,89684,4727,65190,0.7786,0.66993,0.72689,0.9216,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,22,7958,102724,5299,75126,0.7497,0.66587,0.73134,0.9105,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,23,8543,110704,5763,81816,0.7496,0.67459,0.73905,0.9128,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,24,9002,116423,6182,86857,0.7631,0.68674,0.74605,0.9205,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,25,9393,121112,6468,91076,0.7472,0.6886,0.752,0.9157,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,26,9849,122028,6873,92271,0.7625,0.69784,0.75615,0.9229,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,27,9981,120903,6991,91731,0.7617,0.70043,0.75872,0.9232,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,28,10035,116845,7173,89031,0.7992,0.7148,0.76196,0.9381,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,29,10145,110137,7286,83906,0.8129,0.71819,0.76183,0.9427,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,30,9757,101820,7017,77677,0.8129,0.71918,0.76289,0.9427,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,31,9347,92680,6800,70617,0.8487,0.72751,0.76194,0.9548,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,32,8720,83044,6408,63269,0.8786,0.73486,0.76187,0.9645,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,33,8129,73269,6013,55856,0.897,0.7397,0.76234,0.9703,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,34,7423,63324,5490,48223,0.9007,0.73959,0.76153,0.9712,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,35,6521,53263,4904,40616,0.9503,0.75203,0.76256,0.9862,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,36,5744,44556,4272,33968,0.9153,0.74373,0.76237,0.9756,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,37,4717,34865,3596,26767,0.974,0.76235,0.76773,0.993,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,38,3885,26500,3000,20415,1.0091,0.7722,0.77038,1.0024,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,39,3025,19812,2324,15358,0.9665,0.76826,0.77519,0.9911,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,40,2199,13654,1686,10610,0.9507,0.76671,0.77706,0.9867,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,41,1494,8876,1142,6991,0.8924,0.76439,0.78763,0.9705,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,42,969,5264,769,4124,1.053,0.7936,0.78343,1.013,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,43,499,2774,379,2137,0.9503,0.75952,0.77037,0.9859,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,44,298,1406,233,1087,1.0428,0.78188,0.77312,1.0113,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
primary,45,102,599,79,445,1.1602,0.77451,0.7429,1.0425,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,15,3154,37007,56,778,0.8524,0.01776,0.02102,0.8446,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,16,7811,90571,169,2706,0.7346,0.02164,0.02988,0.7242,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,17,15885,180109,529,7476,0.809,0.0333,0.04151,0.8023,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,18,30786,339104,1496,19963,0.8293,0.04859,0.05887,0.8254,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,19,54127,581072,3023,39819,0.8179,0.05585,0.06853,0.815,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,20,70454,763601,4011,54479,0.8005,0.05693,0.07134,0.798,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,21,80341,892539,4727,65190,0.8074,0.05884,0.07304,0.8056,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,22,91833,1029427,5299,75126,0.7925,0.0577,0.07298,0.7907,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,23,102034,1140630,5763,81816,0.7895,0.05648,0.07173,0.7874,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,24,111081,1249903,6182,86857,0.8031,0.05565,0.06949,0.8009,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,25,121389,1364339,6468,91076,0.801,0.05328,0.06675,0.7982,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,26,130563,1469199,6873,92271,0.841,0.05264,0.0628,0.8382,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,27,138268,1566863,6991,91731,0.8665,0.05056,0.05854,0.8636,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,28,145359,1655896,7173,89031,0.92,0.04935,0.05377,0.9178,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,29,149760,1718171,7286,83906,0.9964,0.04865,0.04883,0.9962,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,30,151401,1739700,7017,77677,1.0366,0.04635,0.04465,1.038,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,31,149871,1736300,6800,70617,1.1105,0.04537,0.04067,1.1156,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,32,143032,1655061,6408,63269,1.1635,0.0448,0.03823,1.172,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,33,133238,1532257,6013,55856,1.225,0.04513,0.03645,1.238,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,34,122701,1385574,5490,48223,1.2684,0.04474,0.0348,1.2856,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,35,108620,1212743,4904,40616,1.3253,0.04515,0.03349,1.3481,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,36,93276,1010069,4272,33968,1.3369,0.0458,0.03363,1.3619,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,37,77728,805057,3596,26767,1.3618,0.04626,0.03325,1.3915,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,38,62830,625420,3000,20415,1.4237,0.04775,0.03264,1.4628,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,39,50108,476375,2324,15358,1.3995,0.04638,0.03224,1.4386,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,40,37291,338550,1686,10610,1.4,0.04521,0.03134,1.4426,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,41,26004,229441,1142,6991,1.3968,0.04392,0.03047,1.4413,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,42,17664,145616,769,4124,1.4734,0.04353,0.02832,1.5372,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,43,11018,85867,379,2137,1.3362,0.0344,0.02489,1.3822,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,44,6464,47315,233,1087,1.4861,0.03605,0.02297,1.569,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
broad,45,3592,25049,79,445,1.2067,0.02199,0.01777,1.238,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,15,3178,37379,79,1123,0.8346,0.02486,0.03004,0.8274,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,16,7907,91849,261,3918,0.7807,0.03301,0.04266,0.7738,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,17,16132,183270,770,10493,0.8373,0.04773,0.05725,0.8337,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,18,31489,347306,2172,27808,0.862,0.06898,0.08007,0.8615,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,19,55789,598066,4641,56256,0.8835,0.08319,0.09406,0.8844,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
prepregnancy,20,72632,786030,6122,76199,0.8681,0.08429,0.09694,0.8695,"With no false-positive smoking reports, the cases-to-non-cases sensitivity ratio that would make the true association exactly null equals the recorded exposure prevalence ratio. Values below 1 at younger ages and above 1 at older ages mean reporting error would have to change direction with maternal age to produce the observed pattern."
