target,age,anchor,assumed_sensitivity_A0,assumed_common_specificity,required_sensitivity_A1,required_A1_to_A0_sensitivity_ratio,valid
overall,,nchs_2013_state_a,0.5,0.962686567164179,0.455518879755244,0.911037759510488,TRUE
overall,,nchs_2013_state_b,0.2,0.985106382978723,0.187609735483681,0.938048677418405,TRUE
overall,,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.212552105736864,0.941302182548967,TRUE
age_15,15,nchs_2013_state_a,0.5,0.962686567164179,0.405953273816769,0.811906547633538,TRUE
age_15,15,nchs_2013_state_b,0.2,0.985106382978723,0.176819248996554,0.88409624498277,TRUE
age_15,15,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.201609827540057,0.892843521963111,TRUE
age_16,16,nchs_2013_state_a,0.5,0.962686567164179,0.397787263319824,0.795574526639649,TRUE
age_16,16,nchs_2013_state_b,0.2,0.985106382978723,0.174474120516354,0.872370602581772,TRUE
age_16,16,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.19909631888524,0.88171226934892,TRUE
age_17,17,nchs_2013_state_a,0.5,0.962686567164179,0.391573326259856,0.783146652519712,TRUE
age_17,17,nchs_2013_state_b,0.2,0.985106382978723,0.172436704826713,0.862183524133565,TRUE
age_17,17,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.196866231991889,0.871836170249796,TRUE
age_18,18,nchs_2013_state_a,0.5,0.962686567164179,0.38847973447143,0.77695946894286,TRUE
age_18,18,nchs_2013_state_b,0.2,0.985106382978723,0.170862701262022,0.854313506310108,TRUE
age_18,18,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.195048550668488,0.863786438674734,TRUE
age_19,19,nchs_2013_state_a,0.5,0.962686567164179,0.386362569447592,0.772725138895184,TRUE
age_19,19,nchs_2013_state_b,0.2,0.985106382978723,0.169664229108597,0.848321145542986,TRUE
age_19,19,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.193643895269577,0.857565821908126,TRUE
age_20,20,nchs_2013_state_a,0.5,0.962686567164179,0.382032043937106,0.764064087874211,TRUE
age_20,20,nchs_2013_state_b,0.2,0.985106382978723,0.168622344823266,0.843111724116329,TRUE
age_20,20,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.192563951954041,0.852783215796467,TRUE
age_21,21,nchs_2013_state_a,0.5,0.962686567164179,0.379819521945861,0.759639043891723,TRUE
age_21,21,nchs_2013_state_b,0.2,0.985106382978723,0.168187175448569,0.840935877242847,TRUE
age_21,21,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.192135854222557,0.850887354414179,TRUE
age_22,22,nchs_2013_state_a,0.5,0.962686567164179,0.379157696008185,0.75831539201637,TRUE
age_22,22,nchs_2013_state_b,0.2,0.985106382978723,0.168329663289869,0.841648316449345,TRUE
age_22,22,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.192354021094514,0.85185352198999,TRUE
age_23,23,nchs_2013_state_a,0.5,0.962686567164179,0.381891530382254,0.763783060764508,TRUE
age_23,23,nchs_2013_state_b,0.2,0.985106382978723,0.169230262462974,0.846151312314872,TRUE
age_23,23,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.193343979376651,0.856237622953742,TRUE
age_24,24,nchs_2013_state_a,0.5,0.962686567164179,0.387598782596451,0.775197565192903,TRUE
age_24,24,nchs_2013_state_b,0.2,0.985106382978723,0.170801094543895,0.854005472719475,TRUE
age_24,24,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.195018788533895,0.863654634935822,TRUE
age_25,25,nchs_2013_state_a,0.5,0.962686567164179,0.397061248946468,0.794122497892936,TRUE
age_25,25,nchs_2013_state_b,0.2,0.985106382978723,0.173115166717616,0.865575833588082,TRUE
age_25,25,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.197428475247877,0.874326104669171,TRUE
age_26,26,nchs_2013_state_a,0.5,0.962686567164179,0.409045487982714,0.818090975965428,TRUE
age_26,26,nchs_2013_state_b,0.2,0.985106382978723,0.17601436263213,0.880071813160649,TRUE
age_26,26,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.20043952583026,0.887660757248295,TRUE
age_27,27,nchs_2013_state_a,0.5,0.962686567164179,0.422897818848664,0.845795637697327,TRUE
age_27,27,nchs_2013_state_b,0.2,0.985106382978723,0.179435509128412,0.89717754564206,TRUE
age_27,27,nchs_2019_nyc,0.225806451612903,0.992771084337349,0.204007519537946,0.903461872239473,TRUE
age_28,28,nchs_2013_state_a,0.5,0.962686567164179,0.438374514511272,0.876749029022545,TRUE
age_28,28,nchs_2013_state_b,0.2,0.985106382978723,0.183334089638313,0.916670448191563,TRUE
