contrast,type_prevalence,type_gh_pe_rr,age,baseline_loss,observed_rr,required_delta,feasible,min_reachable_rr,loss_rr_other,predicted_rr_calibrated_at_min,calibration_age,calibrated_delta
primary,0.05,2,18,0.16,0.872,,0,0.952,,,30,7.01
primary,0.05,2,21,0.11,0.86,,0,0.952,,0.967,30,7.01
primary,0.05,2,25,0.1,0.882,,0,0.952,,0.971,30,7.01
primary,0.05,2,29,0.1,0.944,,0,0.952,,0.971,30,7.01
primary,0.05,2,32,0.12,1.003,,,,,0.964,30,7.01
primary,0.05,2,35,0.17,1.052,,,,,,30,7.01
primary,0.05,2,40,0.33,1.078,,,,,,30,7.01
primary,0.05,2,45,0.53,1.065,,,,,,30,7.01
primary,0.05,3,18,0.16,0.872,,0,0.909,,,28,9.81
primary,0.05,3,21,0.11,0.86,,0,0.909,,0.917,28,9.81
primary,0.05,3,25,0.1,0.882,,0,0.909,,0.926,28,9.81
primary,0.05,3,29,0.1,0.944,6.95,1,0.909,0.948,0.926,28,9.81
primary,0.05,3,32,0.12,1.003,,,,,,28,9.81
primary,0.05,3,35,0.17,1.052,,,,,,28,9.81
primary,0.05,3,40,0.33,1.078,,,,,,28,9.81
primary,0.05,3,45,0.53,1.065,,,,,,28,9.81
primary,0.05,5,18,0.16,0.872,4.95,1,0.833,1.027,,21,8.9
primary,0.05,5,21,0.11,0.86,8.9,1,0.833,0.882,0.86,21,8.9
primary,0.05,5,25,0.1,0.882,8.24,1,0.833,0.903,0.874,21,8.9
primary,0.05,5,29,0.1,0.944,3.86,1,0.833,1.076,0.874,21,8.9
primary,0.05,5,32,0.12,1.003,,,,,0.845,21,8.9
primary,0.05,5,35,0.17,1.052,,,,,,21,8.9
primary,0.05,5,40,0.33,1.078,,,,,,21,8.9
primary,0.05,5,45,0.53,1.065,,,,,,21,8.9
primary,0.1,2,18,0.16,0.872,,0,0.909,,,28,19.22
primary,0.1,2,21,0.11,0.86,,0,0.909,,0.917,28,19.22
primary,0.1,2,25,0.1,0.882,,0,0.909,,0.926,28,19.22
primary,0.1,2,29,0.1,0.944,10.39,1,0.909,0.634,0.926,28,19.22
primary,0.1,2,32,0.12,1.003,,,,,,28,19.22
primary,0.1,2,35,0.17,1.052,,,,,,28,19.22
primary,0.1,2,40,0.33,1.078,,,,,,28,19.22
primary,0.1,2,45,0.53,1.065,,,,,,28,19.22
primary,0.1,3,18,0.16,0.872,6.34,1,0.833,0.802,,21,15.87
primary,0.1,3,21,0.11,0.86,15.87,1,0.833,0.495,0.86,21,15.87
primary,0.1,3,25,0.1,0.882,13.78,1,0.833,0.54,0.874,21,15.87
primary,0.1,3,29,0.1,0.944,4.59,1,0.833,0.905,0.874,21,15.87
primary,0.1,3,32,0.12,1.003,,,,,0.845,21,15.87
primary,0.1,3,35,0.17,1.052,,,,,,21,15.87
primary,0.1,3,40,0.33,1.078,,,,,,21,15.87
primary,0.1,3,45,0.53,1.065,,,,,,21,15.87
primary,0.1,5,18,0.16,0.872,3.55,1,0.714,0.98,0.78,21,6.36
primary,0.1,5,21,0.11,0.86,6.36,1,0.714,0.801,0.86,21,6.36
primary,0.1,5,25,0.1,0.882,5.86,1,0.714,0.827,0.874,21,6.36
primary,0.1,5,29,0.1,0.944,2.82,1,0.714,1.04,0.874,21,6.36
primary,0.1,5,32,0.12,1.003,,,,,0.845,21,6.36
primary,0.1,5,35,0.17,1.052,,,,,0.763,21,6.36
primary,0.1,5,40,0.33,1.078,,,,,,21,6.36
primary,0.1,5,45,0.53,1.065,,,,,,21,6.36
primary,0.2,2,18,0.16,0.872,19.06,1,0.837,0.267,0.866,19,24.04
primary,0.2,2,21,0.11,0.86,,0,0.896,,0.914,19,24.04
primary,0.2,2,25,0.1,0.882,,0,0.906,,0.923,19,24.04
primary,0.2,2,29,0.1,0.944,8.33,1,0.906,0.499,0.923,19,24.04
primary,0.2,2,32,0.12,1.003,,,,,0.905,19,24.04
primary,0.2,2,35,0.17,1.052,,,,,0.855,19,24.04
primary,0.2,2,40,0.33,1.078,,,,,,19,24.04
primary,0.2,2,45,0.53,1.065,,,,,,19,24.04
primary,0.2,3,18,0.16,0.872,5.21,1,0.72,0.668,0.78,21,19.22
primary,0.2,3,21,0.11,0.86,19.22,1,0.821,0.265,0.86,21,19.22
primary,0.2,3,25,0.1,0.882,14.96,1,0.84,0.324,0.874,21,19.22
primary,0.2,3,29,0.1,0.944,3.65,1,0.84,0.804,0.874,21,19.22
primary,0.2,3,32,0.12,1.003,,,,,0.845,21,19.22
primary,0.2,3,35,0.17,1.052,,,,,0.763,21,19.22
primary,0.2,3,40,0.33,1.078,,,,,,21,19.22
primary,0.2,3,45,0.53,1.065,,,,,,21,19.22
primary,0.2,5,18,0.16,0.872,3.08,1,0.564,0.869,0.78,21,6.09
primary,0.2,5,21,0.11,0.86,6.09,1,0.722,0.61,0.86,21,6.09
primary,0.2,5,25,0.1,0.882,5.49,1,0.751,0.648,0.874,21,6.09
primary,0.2,5,29,0.1,0.944,2.43,1,0.751,0.956,0.874,21,6.09
primary,0.2,5,32,0.12,1.003,,,,,0.845,21,6.09
primary,0.2,5,35,0.17,1.052,,,,,0.763,21,6.09
primary,0.2,5,40,0.33,1.078,,,,,,21,6.09
primary,0.2,5,45,0.53,1.065,,,,,,21,6.09
broad,0.05,2,18,0.16,0.833,,0,0.952,,,28,10.38
broad,0.05,2,21,0.11,0.847,,0,0.952,,0.955,28,10.38
broad,0.05,2,25,0.1,0.893,,0,0.952,,0.959,28,10.38
broad,0.05,2,29,0.1,0.988,3.02,1,0.952,1.117,0.959,28,10.38
broad,0.05,2,32,0.12,1.085,,,,,,28,10.38
broad,0.05,2,35,0.17,1.17,,,,,,28,10.38
broad,0.05,2,40,0.33,1.221,,,,,,28,10.38
broad,0.05,2,45,0.53,1.198,,,,,,28,10.38
broad,0.05,3,18,0.16,0.833,,0,0.909,,,26,12.45
broad,0.05,3,21,0.11,0.847,,0,0.909,,,26,12.45
broad,0.05,3,25,0.1,0.893,,0,0.909,,0.912,26,12.45
broad,0.05,3,29,0.1,0.988,2.01,1,0.909,1.171,0.912,26,12.45
broad,0.05,3,32,0.12,1.085,,,,,,26,12.45
broad,0.05,3,35,0.17,1.17,,,,,,26,12.45
broad,0.05,3,40,0.33,1.221,,,,,,26,12.45
broad,0.05,3,45,0.53,1.198,,,,,,26,12.45
broad,0.05,5,18,0.16,0.833,,0,0.833,,0.837,19,6.32
broad,0.05,5,21,0.11,0.847,9.9,1,0.833,0.851,0.896,19,6.32
broad,0.05,5,25,0.1,0.893,7.32,1,0.833,0.935,0.907,19,6.32
broad,0.05,5,29,0.1,0.988,1.54,1,0.833,1.198,0.907,19,6.32
broad,0.05,5,32,0.12,1.085,,,,,0.885,19,6.32
broad,0.05,5,35,0.17,1.17,,,,,,19,6.32
broad,0.05,5,40,0.33,1.221,,,,,,19,6.32
broad,0.05,5,45,0.53,1.198,,,,,,19,6.32
broad,0.1,2,18,0.16,0.833,,0,0.909,,,26,34.21
broad,0.1,2,21,0.11,0.847,,0,0.909,,,26,34.21
broad,0.1,2,25,0.1,0.893,,0,0.909,,0.912,26,34.21
broad,0.1,2,29,0.1,0.988,2.13,1,0.909,1.105,0.912,26,34.21
broad,0.1,2,32,0.12,1.085,,,,,,26,34.21
broad,0.1,2,35,0.17,1.17,,,,,,26,34.21
broad,0.1,2,40,0.33,1.221,,,,,,26,34.21
broad,0.1,2,45,0.53,1.198,,,,,,26,34.21
broad,0.1,3,18,0.16,0.833,,0,0.833,,0.837,19,8.97
broad,0.1,3,21,0.11,0.847,19.57,1,0.833,0.431,0.896,19,8.97
broad,0.1,3,25,0.1,0.893,11.29,1,0.833,0.606,0.907,19,8.97
broad,0.1,3,29,0.1,0.988,1.58,1,0.833,1.162,0.907,19,8.97
broad,0.1,3,32,0.12,1.085,,,,,0.885,19,8.97
broad,0.1,3,35,0.17,1.17,,,,,,19,8.97
broad,0.1,3,40,0.33,1.221,,,,,,19,8.97
broad,0.1,3,45,0.53,1.198,,,,,,19,8.97
broad,0.1,5,18,0.16,0.833,4.6,1,0.714,0.904,0.827,15,4.78
broad,0.1,5,21,0.11,0.847,7.11,1,0.714,0.764,0.89,15,4.78
broad,0.1,5,25,0.1,0.893,5.2,1,0.714,0.866,0.901,15,4.78
broad,0.1,5,29,0.1,0.988,1.33,1,0.714,1.19,0.901,15,4.78
broad,0.1,5,32,0.12,1.085,,,,,0.878,15,4.78
broad,0.1,5,35,0.17,1.17,,,,,0.814,15,4.78
broad,0.1,5,40,0.33,1.221,,,,,,15,4.78
broad,0.1,5,45,0.53,1.198,,,,,,15,4.78
broad,0.2,2,18,0.16,0.833,,0,0.837,,0.837,19,2479.44
broad,0.2,2,21,0.11,0.847,,0,0.896,,0.896,19,2479.44
broad,0.2,2,25,0.1,0.893,,0,0.906,,0.907,19,2479.44
broad,0.2,2,29,0.1,0.988,1.71,1,0.906,1.077,0.907,19,2479.44
