contrast,A,variable,level,kind,n,sum,sum_sq,denominator,mean,sd,pct,display
primary,0,age,"",continuous,500016,13616850,385983344,500016,27.2328285494864,5.50591460876224,,27.2 (5.5)
primary,0,year_factor,2016,categorical,89113,0,0,500016,,,17.8220296950498,"89,113 (17.8%)"
primary,0,year_factor,2017,categorical,81473,0,0,500016,,,16.2940785894851,"81,473 (16.3%)"
primary,0,year_factor,2018,categorical,73928,0,0,500016,,,14.78512687594,"73,928 (14.8%)"
primary,0,year_factor,2019,categorical,66105,0,0,500016,,,13.2205769415379,"66,105 (13.2%)"
primary,0,year_factor,2020,categorical,56456,0,0,500016,,,11.2908386931618,"56,456 (11.3%)"
primary,0,year_factor,2021,categorical,47296,0,0,500016,,,9.45889731528591,"47,296 (9.5%)"
primary,0,year_factor,2022,categorical,35374,0,0,500016,,,7.07457361364436,"35,374 (7.1%)"
primary,0,year_factor,2023,categorical,28010,0,0,500016,,,5.60182074173626,"28,010 (5.6%)"
primary,0,year_factor,2024,categorical,22261,0,0,500016,,,4.45205753415891,"22,261 (4.5%)"
primary,0,race_ethnicity,Non-Hispanic White,categorical,345409,0,0,500016,,,69.0795894531375,"345,409 (69.1%)"
primary,0,race_ethnicity,Non-Hispanic Black,categorical,59108,0,0,500016,,,11.8212217209049,"59,108 (11.8%)"
primary,0,race_ethnicity,Non-Hispanic AIAN,categorical,8627,0,0,500016,,,1.72534478896675,"8,627 (1.7%)"
primary,0,race_ethnicity,Non-Hispanic Asian,categorical,6165,0,0,500016,,,1.23296054526255,"6,165 (1.2%)"
primary,0,race_ethnicity,Non-Hispanic NHOPI,categorical,1030,0,0,500016,,,0.205993408210937,"1,030 (0.2%)"
primary,0,race_ethnicity,Non-Hispanic multiple race,categorical,20442,0,0,500016,,,4.08826917538639,"20,442 (4.1%)"
primary,0,race_ethnicity,Hispanic,categorical,59235,0,0,500016,,,11.8466209081309,"59,235 (11.8%)"
primary,0,prepreg_diabetes,No,categorical,495139,0,0,500016,,,99.0246312118012,"495,139 (99.0%)"
primary,0,prepreg_diabetes,Yes,categorical,4877,0,0,500016,,,0.975368788198778,"4,877 (1.0%)"
primary,0,prior_living4,0,categorical,230688,0,0,500016,,,46.1361236440434,"230,688 (46.1%)"
primary,0,prior_living4,1,categorical,143934,0,0,500016,,,28.7858788518767,"143,934 (28.8%)"
primary,0,prior_living4,2,categorical,76080,0,0,500016,,,15.2155131035807,"76,080 (15.2%)"
primary,0,prior_living4,3 or more,categorical,49314,0,0,500016,,,9.86248440049918,"49,314 (9.9%)"
primary,0,bmi,"",continuous,500016,14029318.6000007,420090852.539996,500016,28.057739352342,7.27448887515652,,28.1 (7.3)
primary,0,education4,Less than high school,categorical,67010,0,0,500016,,,13.4015711497232,"67,010 (13.4%)"
primary,0,education4,High school or GED,categorical,190897,0,0,500016,,,38.1781782982945,"190,897 (38.2%)"
primary,0,education4,Some college or associate,categorical,188039,0,0,500016,,,37.6065965889092,"188,039 (37.6%)"
primary,0,education4,Bachelor or higher,categorical,54070,0,0,500016,,,10.8136539630732,"54,070 (10.8%)"
primary,0,prior_preterm,No,categorical,479544,0,0,500016,,,95.9057310166075,"479,544 (95.9%)"
primary,0,prior_preterm,Yes,categorical,20472,0,0,500016,,,4.09426898339253,"20,472 (4.1%)"
primary,0,prior_cesarean,No,categorical,429899,0,0,500016,,,85.9770487344405,"429,899 (86.0%)"
primary,0,prior_cesarean,Yes,categorical,70117,0,0,500016,,,14.0229512655595,"70,117 (14.0%)"
primary,0,nativity,Born in 50 US states,categorical,472959,0,0,500016,,,94.5887731592589,"472,959 (94.6%)"
primary,0,nativity,Born elsewhere including territories,categorical,27057,0,0,500016,,,5.4112268407411,"27,057 (5.4%)"
primary,0,prepreg_dose5,1-5,categorical,215898,0,0,500016,,,43.1782182970145,"215,898 (43.2%)"
primary,0,prepreg_dose5,6-10,categorical,156064,0,0,500016,,,31.2118012223609,"156,064 (31.2%)"
primary,0,prepreg_dose5,11-20,categorical,110411,0,0,500016,,,22.0814933922115,"110,411 (22.1%)"
primary,0,prepreg_dose5,21-40,categorical,11930,0,0,500016,,,2.38592365044319,"11,930 (2.4%)"
primary,0,prepreg_dose5,41 or more,categorical,5713,0,0,500016,,,1.14256343796999,"5,713 (1.1%)"
primary,1,age,"",continuous,1480543,41001249,1180079567,1480543,27.6933861427868,5.48953629532076,,27.7 (5.5)
primary,1,year_factor,2016,categorical,248236,0,0,1480543,,,16.7665511910157,"248,236 (16.8%)"
primary,1,year_factor,2017,categorical,231675,0,0,1480543,,,15.6479751010271,"231,675 (15.6%)"
primary,1,year_factor,2018,categorical,214684,0,0,1480543,,,14.5003556127718,"214,684 (14.5%)"
primary,1,year_factor,2019,categorical,193555,0,0,1480543,,,13.0732440732893,"193,555 (13.1%)"
primary,1,year_factor,2020,categorical,172720,0,0,1480543,,,11.6659901130869,"172,720 (11.7%)"
primary,1,year_factor,2021,categorical,144402,0,0,1480543,,,9.75331348025691,"144,402 (9.8%)"
primary,1,year_factor,2022,categorical,113552,0,0,1480543,,,7.66961851158663,"113,552 (7.7%)"
primary,1,year_factor,2023,categorical,90221,0,0,1480543,,,6.0937777558639,"90,221 (6.1%)"
primary,1,year_factor,2024,categorical,71498,0,0,1480543,,,4.8291741611017,"71,498 (4.8%)"
primary,1,race_ethnicity,Non-Hispanic White,categorical,1136646,0,0,1480543,,,76.7722382936531,"1,136,646 (76.8%)"
primary,1,race_ethnicity,Non-Hispanic Black,categorical,161637,0,0,1480543,,,10.9174134084589,"161,637 (10.9%)"
primary,1,race_ethnicity,Non-Hispanic AIAN,categorical,27370,0,0,1480543,,,1.84864607106987,"27,370 (1.8%)"
primary,1,race_ethnicity,Non-Hispanic Asian,categorical,6477,0,0,1480543,,,0.437474629240758,"6,477 (0.4%)"
primary,1,race_ethnicity,Non-Hispanic NHOPI,categorical,2108,0,0,1480543,,,0.14238019429358,"2,108 (0.1%)"
primary,1,race_ethnicity,Non-Hispanic multiple race,categorical,56640,0,0,1480543,,,3.82562343680663,"56,640 (3.8%)"
