year,oe_threshold,stage,n_entering,n_retained,n_excluded
2016,20,source_records,3956112,3956112,0
2016,20,us_residents,3956112,3945875,10237
2016,20,singleton,3945875,3810149,135726
2016,20,maternal_age_15_45,3810149,3803899,6250
2016,20,known_oe_at_least_threshold,3803899,3799524,4375
2016,20,known_no_prepregnancy_hypertension,3799524,3732046,67478
2016,20,known_early_pattern,3732046,3713028,19018
2016,20,known_recorded_gh_pe,3713028,3713028,0
2016,28,source_records,3956112,3956112,0
2016,28,us_residents,3956112,3945875,10237
2016,28,singleton,3945875,3810149,135726
2016,28,maternal_age_15_45,3810149,3803899,6250
2016,28,known_oe_at_least_threshold,3803899,3780011,23888
2016,28,known_no_prepregnancy_hypertension,3780011,3713654,66357
2016,28,known_early_pattern,3713654,3694896,18758
2016,28,known_recorded_gh_pe,3694896,3694896,0
2017,20,source_records,3864754,3864754,0
2017,20,us_residents,3864754,3855500,9254
2017,20,singleton,3855500,3723273,132227
2017,20,maternal_age_15_45,3723273,3716975,6298
2017,20,known_oe_at_least_threshold,3716975,3713239,3736
2017,20,known_no_prepregnancy_hypertension,3713239,3641365,71874
2017,20,known_early_pattern,3641365,3623101,18264
2017,20,known_recorded_gh_pe,3623101,3623101,0
2017,28,source_records,3864754,3864754,0
2017,28,us_residents,3864754,3855500,9254
2017,28,singleton,3855500,3723273,132227
2017,28,maternal_age_15_45,3723273,3716975,6298
2017,28,known_oe_at_least_threshold,3716975,3694293,22682
2017,28,known_no_prepregnancy_hypertension,3694293,3623590,70703
2017,28,known_early_pattern,3623590,3605589,18001
2017,28,known_recorded_gh_pe,3605589,3605589,0
2018,20,source_records,3801534,3801534,0
2018,20,us_residents,3801534,3791712,9822
2018,20,singleton,3791712,3664651,127061
2018,20,maternal_age_15_45,3664651,3658195,6456
2018,20,known_oe_at_least_threshold,3658195,3654722,3473
2018,20,known_no_prepregnancy_hypertension,3654722,3578553,76169
2018,20,known_early_pattern,3578553,3561422,17131
2018,20,known_recorded_gh_pe,3561422,3561422,0
2018,28,source_records,3801534,3801534,0
2018,28,us_residents,3801534,3791712,9822
2018,28,singleton,3791712,3664651,127061
2018,28,maternal_age_15_45,3664651,3658195,6456
2018,28,known_oe_at_least_threshold,3658195,3636111,22084
2018,28,known_no_prepregnancy_hypertension,3636111,3561193,74918
2018,28,known_early_pattern,3561193,3544293,16900
2018,28,known_recorded_gh_pe,3544293,3544293,0
2019,20,source_records,3757582,3757582,0
2019,20,us_residents,3757582,3747540,10042
2019,20,singleton,3747540,3623963,123577
2019,20,maternal_age_15_45,3623963,3617188,6775
2019,20,known_oe_at_least_threshold,3617188,3613808,3380
2019,20,known_no_prepregnancy_hypertension,3613808,3532811,80997
2019,20,known_early_pattern,3532811,3514802,18009
2019,20,known_recorded_gh_pe,3514802,3514802,0
2019,28,source_records,3757582,3757582,0
2019,28,us_residents,3757582,3747540,10042
2019,28,singleton,3747540,3623963,123577
2019,28,maternal_age_15_45,3623963,3617188,6775
2019,28,known_oe_at_least_threshold,3617188,3595584,21604
2019,28,known_no_prepregnancy_hypertension,3595584,3515897,79687
2019,28,known_early_pattern,3515897,3498112,17785
2019,28,known_recorded_gh_pe,3498112,3498112,0
2020,20,source_records,3619826,3619826,0
2020,20,us_residents,3619826,3613647,6179
2020,20,singleton,3613647,3498335,115312
2020,20,maternal_age_15_45,3498335,3491773,6562
2020,20,known_oe_at_least_threshold,3491773,3488292,3481
2020,20,known_no_prepregnancy_hypertension,3488292,3398303,89989
2020,20,known_early_pattern,3398303,3384945,13358
2020,20,known_recorded_gh_pe,3384945,3384945,0
2020,28,source_records,3619826,3619826,0
2020,28,us_residents,3619826,3613647,6179
2020,28,singleton,3613647,3498335,115312
2020,28,maternal_age_15_45,3498335,3491773,6562
2020,28,known_oe_at_least_threshold,3491773,3470986,20787
2020,28,known_no_prepregnancy_hypertension,3470986,3382303,88683
2020,28,known_early_pattern,3382303,3369136,13167
2020,28,known_recorded_gh_pe,3369136,3369136,0
2021,20,source_records,3669928,3669928,0
2021,20,us_residents,3669928,3664292,5636
2021,20,singleton,3664292,3547198,117094
2021,20,maternal_age_15_45,3547198,3540395,6803
2021,20,known_oe_at_least_threshold,3540395,3536559,3836
2021,20,known_no_prepregnancy_hypertension,3536559,3438063,98496
2021,20,known_early_pattern,3438063,3423743,14320
2021,20,known_recorded_gh_pe,3423743,3423743,0
2021,28,source_records,3669928,3669928,0
2021,28,us_residents,3669928,3664292,5636
2021,28,singleton,3664292,3547198,117094
2021,28,maternal_age_15_45,3547198,3540395,6803
2021,28,known_oe_at_least_threshold,3540395,3518924,21471
