reason,n,field,contrast,year
item_unknown,1480,race_ethnicity,primary,2016
observed_edited,346987,race_ethnicity,primary,2016
observed_edited,348467,prepreg_diabetes,primary,2016
item_unknown,529,prior_living4,primary,2016
observed_edited,347938,prior_living4,primary,2016
item_unknown,2017,education4,primary,2016
observed_edited,346450,education4,primary,2016
item_unknown,7408,bmi,primary,2016
observed_edited,341059,bmi,primary,2016
observed_edited,348467,prior_preterm,primary,2016
observed_edited,348467,prior_cesarean,primary,2016
item_unknown,694,nativity,primary,2016
observed_edited,347773,nativity,primary,2016
observed_edited,347815,prepreg_dose5,primary,2016
observed_topcoded_98_or_more,652,prepreg_dose5,primary,2016
item_unknown,1264,race_ethnicity,primary,2017
observed_edited,322009,race_ethnicity,primary,2017
observed_edited,323273,prepreg_diabetes,primary,2017
item_unknown,497,prior_living4,primary,2017
observed_edited,322776,prior_living4,primary,2017
item_unknown,1811,education4,primary,2017
observed_edited,321462,education4,primary,2017
item_unknown,6815,bmi,primary,2017
observed_edited,316458,bmi,primary,2017
observed_edited,323273,prior_preterm,primary,2017
observed_edited,323273,prior_cesarean,primary,2017
item_unknown,654,nativity,primary,2017
observed_edited,322619,nativity,primary,2017
observed_edited,322572,prepreg_dose5,primary,2017
observed_topcoded_98_or_more,701,prepreg_dose5,primary,2017
item_unknown,1242,race_ethnicity,primary,2018
observed_edited,296029,race_ethnicity,primary,2018
observed_edited,297271,prepreg_diabetes,primary,2018
item_unknown,465,prior_living4,primary,2018
observed_edited,296806,prior_living4,primary,2018
item_unknown,1727,education4,primary,2018
observed_edited,295544,education4,primary,2018
item_unknown,5627,bmi,primary,2018
observed_edited,291644,bmi,primary,2018
observed_edited,297271,prior_preterm,primary,2018
observed_edited,297271,prior_cesarean,primary,2018
item_unknown,515,nativity,primary,2018
observed_edited,296756,nativity,primary,2018
observed_edited,296571,prepreg_dose5,primary,2018
observed_topcoded_98_or_more,700,prepreg_dose5,primary,2018
item_unknown,1200,race_ethnicity,primary,2019
observed_edited,266476,race_ethnicity,primary,2019
observed_edited,267676,prepreg_diabetes,primary,2019
item_unknown,404,prior_living4,primary,2019
observed_edited,267272,prior_living4,primary,2019
item_unknown,1683,education4,primary,2019
observed_edited,265993,education4,primary,2019
item_unknown,5187,bmi,primary,2019
observed_edited,262489,bmi,primary,2019
observed_edited,267676,prior_preterm,primary,2019
observed_edited,267676,prior_cesarean,primary,2019
item_unknown,487,nativity,primary,2019
observed_edited,267189,nativity,primary,2019
observed_edited,266924,prepreg_dose5,primary,2019
observed_topcoded_98_or_more,752,prepreg_dose5,primary,2019
item_unknown,1055,race_ethnicity,primary,2020
observed_edited,234788,race_ethnicity,primary,2020
observed_edited,235843,prepreg_diabetes,primary,2020
item_unknown,333,prior_living4,primary,2020
observed_edited,235510,prior_living4,primary,2020
item_unknown,1414,education4,primary,2020
observed_edited,234429,education4,primary,2020
item_unknown,4198,bmi,primary,2020
observed_edited,231645,bmi,primary,2020
observed_edited,235843,prior_preterm,primary,2020
observed_edited,235843,prior_cesarean,primary,2020
item_unknown,465,nativity,primary,2020
observed_edited,235378,nativity,primary,2020
observed_edited,235028,prepreg_dose5,primary,2020
observed_topcoded_98_or_more,815,prepreg_dose5,primary,2020
item_unknown,944,race_ethnicity,primary,2021
observed_edited,196548,race_ethnicity,primary,2021
observed_edited,197492,prepreg_diabetes,primary,2021
item_unknown,289,prior_living4,primary,2021
observed_edited,197203,prior_living4,primary,2021
item_unknown,1316,education4,primary,2021
observed_edited,196176,education4,primary,2021
item_unknown,3558,bmi,primary,2021
observed_edited,193934,bmi,primary,2021
observed_edited,197492,prior_preterm,primary,2021
observed_edited,197492,prior_cesarean,primary,2021
item_unknown,481,nativity,primary,2021
observed_edited,197011,nativity,primary,2021
observed_edited,196711,prepreg_dose5,primary,2021
observed_topcoded_98_or_more,781,prepreg_dose5,primary,2021
item_unknown,844,race_ethnicity,primary,2022
observed_edited,153206,race_ethnicity,primary,2022
observed_edited,154050,prepreg_diabetes,primary,2022
item_unknown,276,prior_living4,primary,2022
observed_edited,153774,prior_living4,primary,2022
item_unknown,1074,education4,primary,2022
observed_edited,152976,education4,primary,2022
item_unknown,3112,bmi,primary,2022
observed_edited,150938,bmi,primary,2022
observed_edited,154050,prior_preterm,primary,2022
observed_edited,154050,prior_cesarean,primary,2022
item_unknown,445,nativity,primary,2022
observed_edited,153605,nativity,primary,2022
observed_edited,153501,prepreg_dose5,primary,2022
observed_topcoded_98_or_more,549,prepreg_dose5,primary,2022
item_unknown,683,race_ethnicity,primary,2023
