scenario,metric,attempts,applicable_n,success,rate,wilson_lower,wilson_upper,mcse,conditioning
global_null,pointwise_fixed_root_covered,1000,1000,938,0.938,0.921311939686634,0.951335819880019,0.00762600813007697,All applicable attempted replications; no fit failures
global_null,simultaneous_fixed_root_covered,1000,1000,1000,1,0.996173241514445,1,0,All applicable attempted replications; no fit failures
global_null,global_null_whole_domain_covered,1000,1000,988,0.988,0.979142731524502,0.993122352193596,0.00344325427466518,All applicable attempted replications; no fit failures
global_null,simultaneous_reversal_detected,1000,1000,0,0,0,0.00382675848555512,0,All applicable attempted replications; no fit failures
global_null,omnibus_rejected,1000,1000,59,0.059,0.0460142982128005,0.0753609027714591,0.00745110730026081,All applicable attempted replications; no fit failures
global_null,local_delta_available,1000,1000,0,0,0,0.00382675848555512,0,All applicable attempted replications; no fit failures
global_null,local_delta_covered_when_available,1000,0,0,,,,,Conditional on true unique regular root and exactly one regular fitted root; NOT unconditional coverage
constant_positive,pointwise_fixed_root_covered,1000,0,0,,,,,Not defined for this DGP
constant_positive,simultaneous_fixed_root_covered,1000,0,0,,,,,Not defined for this DGP
constant_positive,global_null_whole_domain_covered,1000,0,0,,,,,Not defined for this DGP
constant_positive,simultaneous_reversal_detected,1000,1000,0,0,0,0.00382675848555512,0,All applicable attempted replications; no fit failures
constant_positive,omnibus_rejected,1000,1000,56,0.056,0.043374813385442,0.072023348149731,0.00727076337120113,All applicable attempted replications; no fit failures
constant_positive,local_delta_available,1000,1000,0,0,0,0.00382675848555512,0,All applicable attempted replications; no fit failures
constant_positive,local_delta_covered_when_available,1000,0,0,,,,,Conditional on true unique regular root and exactly one regular fitted root; NOT unconditional coverage
constant_negative,pointwise_fixed_root_covered,1000,0,0,,,,,Not defined for this DGP
constant_negative,simultaneous_fixed_root_covered,1000,0,0,,,,,Not defined for this DGP
constant_negative,global_null_whole_domain_covered,1000,0,0,,,,,Not defined for this DGP
