model_id,label,contrast_group,family,covariance,fit_n,reference_n,fitted_null_ages,n_isolated_roots,has_zero_intervals,unique_regular_interior_root,full_95_fixed_null_age_set,fixed_null_age_set_components,full_95_simultaneous_outer_set,simultaneous_outer_set_components,simultaneous_strict_negative_intervals,simultaneous_strict_positive_intervals,simultaneous_reversal,omnibus_age_interaction_statistic,omnibus_df,omnibus_p,omnibus_log_p,age_knots,comparison,formula
primary_main,"Within-smoker full adjustment,2016-2024",within_prepregnancy_smokers,original_16_models,HC0,1980559,1980559,31.844775,1,FALSE,TRUE,"[15.000, 15.121] U [31.025, 32.853] U [43.033, 45.000]",3,"[15.000, 16.572] U [30.468, 33.832] U [40.825, 45.000]",3,"(16.572, 30.468)","(33.832, 40.825)",TRUE,225.950247271956,4,9.8251069048743e-48,-108.239143425115,"21,27,35",Reference full-main complete-case analysis,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
primary_main,"Within-smoker full adjustment,2016-2024",within_prepregnancy_smokers,original_16_models,model,1980559,1980559,31.844775,1,FALSE,TRUE,"[15.000, 15.151] U [31.028, 32.846] U [43.090, 45.000]",3,"[15.000, 16.597] U [30.472, 33.817] U [40.883, 45.000]",3,"(16.597, 30.472)","(33.817, 40.883)",TRUE,227.791241229099,4,3.94515371691953e-48,-109.151596545177,"21,27,35",Reference full-main complete-case analysis,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity + prepreg_dose5"
broad_main,"Broader early-smoking comparison,2016-2024",broader_early_smoking,original_16_models,HC0,29576508,29576508,29.380030,1,FALSE,TRUE,"[29.074, 29.671]",1,"[28.851, 29.866]",1,"[15.000, 28.851)","(29.866, 45.000]",TRUE,2021.6583009682,4,0,-1003.90963547214,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
broad_main,"Broader early-smoking comparison,2016-2024",broader_early_smoking,original_16_models,model,29576508,29576508,29.380030,1,FALSE,TRUE,"[29.076, 29.669]",1,"[28.854, 29.863]",1,"[15.000, 28.854)","(29.863, 45.000]",TRUE,2061.46688968857,4,0,-1023.79444922149,"21,27,35",Changed population/model; descriptive stability only,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
prepregnancy_main,"Prepregnancy smoking only,2016-2024",prepregnancy_only,prepregnancy_only,HC0,30097165,30097165,28.574641,1,FALSE,TRUE,"[28.226, 28.904]",1,"[27.972, 29.122]",1,"[15.000, 27.972)","(29.122, 45.000]",TRUE,1881.96350783551,4,0,-934.133768012879,"21,27,35","Smoking versus abstinence before pregnancy, irrespective of T1 status; different population and contrast","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
prepregnancy_main,"Prepregnancy smoking only,2016-2024",prepregnancy_only,prepregnancy_only,model,30097165,30097165,28.574641,1,FALSE,TRUE,"[28.227, 28.902]",1,"[27.975, 29.120]",1,"[15.000, 27.975)","(29.120, 45.000]",TRUE,1917.05637668837,4,0,-951.661746651007,"21,27,35","Smoking versus abstinence before pregnancy, irrespective of T1 status; different population and contrast","Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prior_preterm + prior_cesarean + nativity"
primary_core_same_cc,"Core adjustment, same primary CC records",within_prepregnancy_smokers,original_16_models,HC0,1980559,1980559,33.015130,1,FALSE,TRUE,"[15.000, 15.269] U [32.197, 34.112] U [42.747, 45.000]",3,"[15.000, 16.525] U [31.707, 35.150] U [40.482, 45.000]",3,"(16.525, 31.707)","(35.150, 40.482)",TRUE,261.776222534822,4,1.88895311553304e-55,-126.00615734619,"21,27,35",Same records/reference; adjustment differs; no paired root-difference CI,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
primary_core_same_cc,"Core adjustment, same primary CC records",within_prepregnancy_smokers,original_16_models,model,1980559,1980559,33.015130,1,FALSE,TRUE,"[15.000, 15.300] U [32.202, 34.106] U [42.779, 45.000]",3,"[15.000, 16.553] U [31.714, 35.138] U [40.518, 45.000]",3,"(16.553, 31.714)","(35.138, 40.518)",TRUE,263.484284950383,4,8.09325663259399e-56,-126.853734007215,"21,27,35",Same records/reference; adjustment differs; no paired root-difference CI,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + prepreg_dose5"
primary_augmented_same_cc,"Core plus BMI/education, same primary CC records",within_prepregnancy_smokers,original_16_models,HC0,1980559,1980559,31.580311,1,FALSE,TRUE,"[15.000, 15.101] U [30.793, 32.500] U [43.873, 45.000]",3,"[15.000, 16.560] U [30.241, 33.354] U [41.424, 45.000]",3,"(16.560, 30.241)","(33.354, 41.424)",TRUE,243.772032803412,4,1.42915101304625e-51,-117.074759171903,"21,27,35",Same records/reference; adjustment differs; no paired root-difference CI,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
primary_augmented_same_cc,"Core plus BMI/education, same primary CC records",within_prepregnancy_smokers,original_16_models,model,1980559,1980559,31.580311,1,FALSE,TRUE,"[15.000, 15.131] U [30.796, 32.495] U [43.933, 45.000]",3,"[15.000, 16.585] U [30.245, 33.341] U [41.480, 45.000]",3,"(16.585, 30.245)","(33.341, 41.480)",TRUE,245.723544813091,4,5.42934572639588e-52,-118.042606201381,"21,27,35",Same records/reference; adjustment differs; no paired root-difference CI,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5"
