measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000,contrast,model,fit_n,reference_n
risk0,0.0887057165962926,0.0879268833561036,0.089490771650239,0.000398955222467767,1980559,88.7057165962926,87.9268833561036,89.490771650239,primary,original,1980559,1980559
risk1,0.0837650364127008,0.0833132531426915,0.0842190444912186,0.000231072744073326,1980559,83.7650364127008,83.3132531426915,84.2190444912186,primary,original,1980559,1980559
rd,-0.00494068018359177,-0.00586731611162456,-0.00401404425555898,0.000472782120152193,1980559,-4.94068018359177,-5.86731611162456,-4.01404425555898,primary,original,1980559,1980559
rr,0.944302572898687,0.934335079561714,0.954376399526142,0.00541413289220497,1980559,,,,primary,original,1980559,1980559
risk0,0.0885738538535732,0.0877947070894689,0.0893592379116281,0.000399119119046473,1980559,88.5738538535732,87.7947070894689,89.3592379116281,primary,smoking_by_bmi,1980559,1980559
risk1,0.0837632409749002,0.0833113947879642,0.0842173126447841,0.0002311050168466,1980559,83.7632409749002,83.3113947879642,84.2173126447841,primary,smoking_by_bmi,1980559,1980559
rd,-0.00481061287867302,-0.0057373329671359,-0.00388389279021013,0.000472825059936168,1980559,-4.81061287867302,-5.7373329671359,-3.88389279021013,primary,smoking_by_bmi,1980559,1980559
rr,0.945688115969011,0.935694579307212,0.955788387004633,0.00542035903247652,1980559,,,,primary,smoking_by_bmi,1980559,1980559
risk0,0.0886435220836531,0.087864758698833,0.0894285110817851,0.000398920545475417,1980559,88.6435220836531,87.864758698833,89.4285110817851,primary,smoking_and_age_by_year,1980559,1980559
risk1,0.0837655320245051,0.0833137142099397,0.0842195749739762,0.00023109045228158,1980559,83.7655320245051,83.3137142099397,84.2195749739763,primary,smoking_and_age_by_year,1980559,1980559
rd,-0.00487799005914794,-0.00580458967312505,-0.00395139044517082,0.000472763592232312,1980559,-4.87799005914794,-5.80458967312505,-3.95139044517082,primary,smoking_and_age_by_year,1980559,1980559
rr,0.944970710273171,0.93499155539329,0.955056372566452,0.00541664800692792,1980559,,,,primary,smoking_and_age_by_year,1980559,1980559
risk0,0.0885063746016382,0.0877272788529679,0.0892917121831707,0.00039909424227676,1980559,88.5063746016382,87.7272788529679,89.2917121831708,primary,combined,1980559,1980559
risk1,0.083763174986125,0.0833112939516629,0.0842172818496191,0.000231122884642362,1980559,83.763174986125,83.3112939516629,84.2172818496191,primary,combined,1980559,1980559
rd,-0.0047431996155132,-0.00566989173406275,-0.00381650749696365,0.000472810789309999,1980559,-4.7431996155132,-5.66989173406275,-3.81650749696365,primary,combined,1980559,1980559
rr,0.946408384290261,0.936402075898453,0.956521619193884,0.00542317070202108,1980559,,,,primary,combined,1980559,1980559
risk0,0.0828169877273772,0.0827170146207165,0.0829170707408828,5.10356542963781e-05,29576508,82.8169877273772,82.7170146207165,82.9170707408828,broad,original,29576508,29576508
risk1,0.0837944087397939,0.0833219682670008,0.0842692817217427,0.000241665209370863,29576508,83.7944087397939,83.3219682670008,84.2692817217427,broad,original,29576508,29576508
rd,0.000977421012416685,0.00049178649087268,0.00146305553396069,0.000247777268038917,29576508,0.977421012416685,0.49178649087268,1.46305553396069,broad,original,29576508,29576508
rr,1.01180218019562,1.00595203933569,1.01768634270543,0.00295856544507594,29576508,,,,broad,original,29576508,29576508
risk0,0.082812568022019,0.0827125949224121,0.0829126510349628,5.10356523524904e-05,29576508,82.812568022019,82.7125949224121,82.9126510349628,broad,combined,29576508,29576508
risk1,0.0849977840752741,0.0844843069792044,0.0855140904729414,0.000262703674573483,29576508,84.9977840752741,84.4843069792044,85.5140904729413,broad,combined,29576508,29576508
rd,0.00218521605325514,0.00165931570014578,0.0027111164063645,0.000268321437157824,29576508,2.18521605325514,1.65931570014578,2.7111164063645,broad,combined,29576508,29576508
rr,1.02638749293071,1.02005006995203,1.0327642893982,0.00316007571509849,29576508,,,,broad,combined,29576508,29576508
risk0,0.0829633905928847,0.0828631988369765,0.0830636925210584,5.11472797793746e-05,30097165,82.9633905928847,82.8631988369765,83.0636925210584,prepregnancy,original,30097165,30097165
risk1,0.0854969114106717,0.0850880635702943,0.0859075393015205,0.000209053264877809,30097165,85.4969114106717,85.0880635702943,85.9075393015205,prepregnancy,original,30097165,30097165
rd,0.00253352081778699,0.00210980229141146,0.00295723934416252,0.000216186894105079,30097165,2.53352081778699,2.10980229141146,2.95723934416252,prepregnancy,original,30097165,30097165
rr,1.03053781673677,1.02543365272609,1.03566738706231,0.00253332164721523,30097165,,,,prepregnancy,original,30097165,30097165
risk0,0.0829587512101893,0.0828585563514679,0.0830590562548413,5.11488663605613e-05,30097165,82.9587512101893,82.8585563514679,83.0590562548413,prepregnancy,combined,30097165,30097165
risk1,0.0865432550727488,0.0860991408659149,0.0869894420462544,0.000227121190512187,30097165,86.5432550727488,86.0991408659149,86.9894420462544,prepregnancy,combined,30097165,30097165
rd,0.00358450386255955,0.00312655245693856,0.00404245526818055,0.000233652969765395,30097165,3.58450386255955,3.12655245693856,4.04245526818055,prepregnancy,combined,30097165,30097165
rr,1.04320826688287,1.03769016003638,1.04875571726979,0.00270596482053427,30097165,,,,prepregnancy,combined,30097165,30097165
