measure,estimate,lower,upper,analysis_scale,analysis_scale_se,numerically_degenerate,reference_n,estimate_per1000,lower_per1000,upper_per1000,model,live_n,fetal_n
difference_risk0,-0.000154101523071562,-0.000225307725956745,-8.28953201863788e-05,identity,3.63303629285276e-05,FALSE,1364033,-0.154101523071562,-0.225307725956745,-0.0828953201863788,all_years_shared_core,1364033,10108
difference_risk1,-3.79338730411849e-05,-9.16351792484905e-05,1.57674331661207e-05,identity,2.73991290813988e-05,FALSE,1364033,-0.0379338730411849,-0.0916351792484905,0.0157674331661207,all_years_shared_core,1364033,10108
difference_RD,0.000116167650030377,2.30983457824021e-05,0.000209236954278352,identity,4.74852114539317e-05,FALSE,1364033,0.116167650030377,0.0230983457824021,0.209236954278352,all_years_shared_core,1364033,10108
ratio_of_RRs,1.0011342494491,1.00017524673335,1.00209417168992,log,0.000488975972170501,FALSE,1364033,,,,all_years_shared_core,1364033,10108
difference_risk0,-0.000155695114614302,-0.000225511430016366,-8.58787992122371e-05,identity,3.56212236310293e-05,FALSE,1332087,-0.155695114614302,-0.225511430016366,-0.0858787992122371,all_years_shared_augmented,1332087,8955
difference_risk1,-6.38662581229355e-05,-0.000115003069172119,-1.27294470737518e-05,identity,2.60906891415068e-05,FALSE,1332087,-0.0638662581229355,-0.115003069172119,-0.0127294470737518,all_years_shared_augmented,1332087,8955
difference_RD,9.18288564913661e-05,1.78137397317677e-06,0.000181876339009555,identity,4.59434373429677e-05,FALSE,1332087,0.0918288564913661,0.00178137397317677,0.181876339009555,all_years_shared_augmented,1332087,8955
ratio_of_RRs,1.00091290021497,0.999973839360596,1.0018528429277,log,0.000478909186084542,FALSE,1332087,,,,all_years_shared_augmented,1332087,8955
difference_risk0,-0.000179246281051274,-0.000270208048620666,-8.82845134818812e-05,identity,4.64099178795565e-05,FALSE,793570,-0.179246281051274,-0.270208048620666,-0.0882845134818812,reporting_years_shared_core,793570,5872
difference_risk1,-2.58358436271422e-05,-9.65036621915769e-05,4.48319749372926e-05,identity,3.60556720030845e-05,FALSE,793570,-0.0258358436271422,-0.0965036621915769,0.0448319749372926,reporting_years_shared_core,793570,5872
difference_RD,0.000153410437424131,3.35291359493406e-05,0.000273291738898922,identity,6.11650532460796e-05,FALSE,793570,0.153410437424131,0.0335291359493406,0.273291738898922,reporting_years_shared_core,793570,5872
ratio_of_RRs,1.00150587753012,1.00028181036362,1.00273144261492,log,0.000623977879517069,FALSE,793570,,,,reporting_years_shared_core,793570,5872
difference_risk0,-0.000179657208897538,-0.000269111732571044,-9.02026852240315e-05,identity,4.5640901761008e-05,FALSE,775416,-0.179657208897538,-0.269111732571044,-0.0902026852240315,reporting_years_shared_augmented,775416,5188
difference_risk1,-5.92117840457901e-05,-0.000125967103426851,7.54353533527091e-06,identity,3.40594622695205e-05,FALSE,775416,-0.0592117840457901,-0.125967103426851,0.00754353533527091,reporting_years_shared_augmented,775416,5188
difference_RD,0.000120445424851748,4.69194115601358e-06,0.000236198908547482,identity,5.90589850674722e-05,FALSE,775416,0.120445424851748,0.00469194115601358,0.236198908547482,reporting_years_shared_augmented,775416,5188
ratio_of_RRs,1.0012030899567,1.00000767290796,1.0023999360164,log,0.000609548927848238,FALSE,775416,,,,reporting_years_shared_augmented,775416,5188
