measure,estimate,lower,upper,pooling_scale_se,target_n,estimate_per1000,lower_per1000,upper_per1000,family,scenario,covariance,years,fit_n,reference_n,events,A0,A1,source_receipt,source_receipt_sha256,formula,GH_required,GH_adjusted,interpretation
risk0,0.00495015753889556,0.00471083925822016,0.00520157003793077,0.000125138534684002,1341042,4.95015753889556,4.71083925822016,5.20157003793077,fetal,shared_augmented_all_oe20,HC0,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
risk1,0.00727651172220505,0.00710864182726737,0.00744831611036307,8.6645559423809e-05,1341042,7.27651172220505,7.10864182726737,7.44831611036307,fetal,shared_augmented_all_oe20,HC0,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
rd,0.00232635418330949,0.00202090671059453,0.00263180165602445,0.000155843410962798,1341042,2.32635418330949,2.02090671059453,2.63180165602445,fetal,shared_augmented_all_oe20,HC0,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
rr,1.4699555852577,1.3901109264235,1.55438633101718,0.02849472721103,1341042,,,,fetal,shared_augmented_all_oe20,HC0,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
risk0,0.00495015753889556,0.00471220046085682,0.00520006821079465,0.000124409029225135,1341042,4.95015753889556,4.71220046085682,5.20006821079465,fetal,shared_augmented_all_oe20,model,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
risk1,0.00727651172220505,0.00710898181682752,0.00744796001375752,8.64680299985439e-05,1341042,7.27651172220505,7.10898181682752,7.44796001375752,fetal,shared_augmented_all_oe20,model,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
rd,0.00232635418330949,0.00202318406721839,0.00262952429940059,0.00015468147296709,1341042,2.32635418330949,2.02318406721839,2.62952429940059,fetal,shared_augmented_all_oe20,model,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
rr,1.4699555852577,1.39069263343418,1.55373615325373,0.0282812675093466,1341042,,,,fetal,shared_augmented_all_oe20,model,"2018,2019,2020,2021,2022,2023,2024",1341042,1341042,8955,331619,1009423,age45_revision/outputs/models/fetal_shared_augmented_all_oe20/receipt.json,cf170252bd64704bd1036dcf7a2bd2da38061dd20ddf1d17fdb62d47406beaee,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
risk0,0.00255328451829808,0.00238240291162541,0.00273638925840463,9.02328702358827e-05,1328715,2.55328451829808,2.38240291162541,2.73638925840463,fetal,shared_augmented_all_oe28,HC0,"2018,2019,2020,2021,2022,2023,2024",1328715,1328715,5079,329158,999557,age45_revision/outputs/models/fetal_shared_augmented_all_oe28/receipt.json,cd1a0864d298043c1c6bda27045f58e45945f729a608ab5e3ccf643ef4bc5cc6,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
risk1,0.00425280824146298,0.0041244298469,0.00438516498976862,6.65050539996268e-05,1328715,4.25280824146298,4.1244298469,4.38516498976862,fetal,shared_augmented_all_oe28,HC0,"2018,2019,2020,2021,2022,2023,2024",1328715,1328715,5079,329158,999557,age45_revision/outputs/models/fetal_shared_augmented_all_oe28/receipt.json,cd1a0864d298043c1c6bda27045f58e45945f729a608ab5e3ccf643ef4bc5cc6,"Y ~ A * splines::ns(age, knots = c(21, 27, 35), Boundary.knots = c(15, 45), intercept = FALSE) + year_factor + race_ethnicity + prepreg_diabetes + prior_living4 + education4 + splines::ns(bmi, knots = c(19.6, 26.1, 37.8), Boundary.knots = c(13, 69.9), intercept = FALSE) + prepreg_dose5",FALSE,FALSE,Exploratory retained fetal-source probability ratio; not population fetal-mortality RR
