age,A,n,events,non_events,sparse
15,0,39355,3099,36256,FALSE
15,1,1202,79,1123,FALSE
16,0,95577,7646,87931,FALSE
16,1,4179,261,3918,FALSE
17,0,188139,15362,172777,FALSE
17,1,11263,770,10493,FALSE
18,0,348815,29317,319498,FALSE
18,1,29980,2172,27808,FALSE
19,0,592958,51148,541810,FALSE
19,1,60897,4641,56256,FALSE
20,0,776341,66510,709831,FALSE
20,1,82321,6122,76199,FALSE
21,0,903808,75680,828128,FALSE
21,1,96913,7076,89837,FALSE
22,0,1041848,86606,955242,FALSE
22,1,110862,7969,102893,FALSE
23,0,1156149,96351,1059798,FALSE
23,1,119470,8561,110909,FALSE
24,0,1268964,104966,1163998,FALSE
24,1,125652,9017,116635,FALSE
25,0,1389291,115011,1274280,FALSE
25,1,130744,9419,121325,FALSE
26,0,1501681,123766,1377915,FALSE
26,1,132082,9868,122214,FALSE
27,0,1607466,131354,1476112,FALSE
27,1,131110,10006,121104,FALSE
28,0,1706070,138269,1567801,FALSE
28,1,127128,10053,117075,FALSE
29,0,1777698,142572,1635126,FALSE
29,1,120470,10159,110311,FALSE
30,0,1807351,144448,1662903,FALSE
30,1,111777,9770,102007,FALSE
31,0,1809551,143147,1666404,FALSE
31,1,102211,9364,92847,FALSE
32,0,1729206,136700,1592506,FALSE
32,1,91928,8743,83185,FALSE
33,0,1604342,127278,1477064,FALSE
33,1,81518,8144,73374,FALSE
34,0,1455143,117286,1337857,FALSE
34,1,70870,7440,63430,FALSE
35,0,1276371,103758,1172613,FALSE
35,1,59901,6528,53373,FALSE
36,0,1065544,89057,976487,FALSE
36,1,50398,5751,44647,FALSE
37,0,852768,74169,778599,FALSE
37,1,39643,4722,34921,FALSE
38,0,665103,59866,605237,FALSE
38,1,30442,3891,26551,FALSE
39,0,508989,47800,461189,FALSE
39,1,22888,3033,19855,FALSE
40,0,363696,35625,328071,FALSE
40,1,15884,2204,13680,FALSE
41,0,247408,24876,222532,FALSE
41,1,10385,1496,8889,FALSE
42,0,158463,16905,141558,FALSE
42,1,6246,972,5274,FALSE
43,0,94407,10644,83763,FALSE
43,1,3278,499,2779,FALSE
44,0,52478,6236,46242,FALSE
44,1,1708,298,1410,FALSE
45,0,28131,3516,24615,FALSE
45,1,704,102,602,FALSE
