age,target_n,risk0,risk1,rd,rr,se_risk0,se_risk1,se_rd,se_log_rr,risk0_lower,risk0_upper,risk1_lower,risk1_upper,rd_lower,rd_upper,rr_lower,rr_upper,risk0_per1000,risk1_per1000,rd_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_lower_per1000,risk1_upper_per1000,rd_lower_per1000,rd_upper_per1000,rd_bonferroni_lower_per1000,rd_bonferroni_upper_per1000
15,753,0.0621458076536175,0.0545497180824034,-0.00759608957121409,0.87776987928852,0.00463644436538826,0.00279240149187546,0.0054074043363149,0.0903908259310691,0.0536553600621419,0.0718777420419851,0.0493284259406565,0.0602886230830906,-0.018194407320237,0.00300222817780883,0.73525817750162,1.04790396701774,62.1458076536175,54.5497180824034,-7.59608957121409,53.6553600621419,71.8777420419851,49.3284259406565,60.2886230830906,-18.194407320237,3.00222817780883,-24.6486806726907,9.45650153026249
16,2594,0.0594687686205228,0.0512354285856652,-0.00823334003485754,0.861551866200636,0.0034673044933681,0.00205714042656337,0.00402666314793136,0.0706992225942057,0.0530257612362718,0.0666395557989008,0.0473503457553124,0.055420736834197,-0.0161254547826777,-0.000341225287037394,0.750070594922353,0.989602343004311,59.4687686205228,51.2354285856652,-8.23334003485754,53.0257612362718,66.6395557989008,47.3503457553124,55.420736834197,-16.1254547826777,-0.341225287037394,-20.9316765923661,4.46499652265104
17,6620,0.0595104982849088,0.0504272129278618,-0.00908328535704696,0.847366672791742,0.00254031339895265,0.00149096036766814,0.00294096997607021,0.0518401321077408,0.0547223575612776,0.0646889248018368,0.0475838765090165,0.0534309191072919,-0.0148474805897582,-0.00331909012433572,0.765499618517956,0.937989073787245,59.5104982849088,50.4272129278618,-9.08328535704696,54.7223575612776,64.6889248018369,47.5838765090165,53.4309191072919,-14.8474805897582,-3.31909012433572,-18.3578199256644,0.191249211570526
18,16436,0.0606571102646331,0.0506554279841164,-0.0100016822805166,0.835111131458759,0.00178037270862249,0.00104094996297502,0.00206559984369271,0.0358908624195581,0.0572601069315709,0.0642419106082132,0.0486536648374551,0.0527349845876152,-0.0140501835806259,-0.00595318098040736,0.778384026597354,0.895972396729422,60.6571102646331,50.6554279841164,-10.0016822805166,57.260106931571,64.2419106082132,48.6536648374551,52.7349845876152,-14.0501835806259,-5.95318098040736,-16.5156818490731,-3.48768271196016
19,30800,0.0604889085530308,0.0499149240429254,-0.0105739845101054,0.825191348909277,0.00121844387033576,0.000716533153362431,0.00141768131508907,0.0248138286620168,0.0581444475271795,0.0629215860604384,0.0485291170752182,0.0513381691394635,-0.0133525888292354,-0.00779538019097547,0.786019095777931,0.86631580068774,60.4889085530308,49.9149240429254,-10.5739845101054,58.1444475271795,62.9215860604384,48.5291170752182,51.3381691394635,-13.3525888292354,-7.79538019097547,-15.0447320767452,-6.1032369434656
20,40654,0.0585955930496438,0.0479359379814989,-0.0106596550681449,0.818080942382242,0.00096211339064402,0.00056035706089414,0.0011195509655626,0.0202765837768615,0.056738094738061,0.0605100013467113,0.0468495296952265,0.0490462429680582,-0.0128539346395046,-0.00846537549678512,0.786206837104013,0.85124727578587,58.5955930496438,47.9359379814989,-10.6596550681449,56.738094738061,60.5100013467113,46.8495296952265,49.0462429680582,-12.8539346395046,-8.46537549678512,-14.190229747902,-7.12908038838773
21,46678,0.0567341587308189,0.0462334390837339,-0.010500719647085,0.81491362731037,0.00092852345414659,0.00052903347862933,0.00107611637480082,0.020121756779684,0.0549414816490807,0.0585817029681433,0.045207546092732,0.0472814597662735,-0.0126098689848684,-0.00839157030930158,0.783400618133278,0.847694276216624,56.7341587308189,46.2334390837339,-10.500719647085,54.9414816490807,58.5817029681433,45.207546092732,47.2814597662735,-12.6098689848684,-8.39157030930158,-13.8943206015843,-7.10711869258574
22,52569,0.0552841315847355,0.0451045284692704,-0.0101796031154652,0.815867540582371,0.000898634617479054,0.000506968378683029,0.0010392568481754,0.0199190256928746,0.053549026372954,0.0570720677868865,0.0441212513857441,0.0461086616412626,-0.0122165091085756,-0.00814269712235477,0.784629350339477,0.848349406618465,55.2841315847355,45.1045284692704,-10.1796031154652,53.549026372954,57.0720677868865,44.1212513857441,46.1086616412626,-12.2165091085756,-8.14269712235477,-13.4569652247358,-6.90224100619449
23,54880,0.0545447996179389,0.0447763196651583,-0.00976847995278062,0.820909050519861,0.000820006476654914,0.000461643657790386,0.000948566324609503,0.0183886324281931,0.0529597495808517,0.0561744752344091,0.0438801779866541,0.0456898882051181,-0.0116276357859628,-0.00790932411959847,0.791849435561688,0.851035107131703,54.544799617939,44.7763196651583,-9.76847995278062,52.9597495808518,56.1744752344091,43.8801779866541,45.6898882051181,-11.6276357859628,-7.90932411959847,-12.7598437680524,-6.7771161375088
24,55146,0.0551179699843122,0.0457204975090292,-0.00939747247528297,0.829502565534295,0.000748757365628597,0.00042126141800098,0.000867624334666032,0.0165909544499842,0.0536686966794402,0.056604038663872,0.0449019020254116,0.0465532891995894,-0.0110979849233389,-0.00769696002722702,0.802962914587415,0.856919409013465,55.1179699843122,45.7204975090292,-9.39747247528297,53.6686966794402,56.604038663872,44.9019020254116,46.5532891995894,-11.0979849233389,-7.69696002722702,-12.1335806130431,-6.66136433752286
