age,A,n,events,non_events,sparse
15,0,209,15,194,TRUE
15,1,544,23,521,FALSE
16,0,738,52,686,FALSE
16,1,1856,103,1753,FALSE
17,0,1823,99,1724,FALSE
17,1,4797,233,4564,FALSE
18,0,4750,298,4452,FALSE
18,1,11686,591,11095,FALSE
19,0,8909,558,8351,FALSE
19,1,21891,1063,20828,FALSE
20,0,11251,709,10542,FALSE
20,1,29403,1395,28008,FALSE
21,0,12341,791,11550,FALSE
21,1,34337,1516,32821,FALSE
22,0,13441,848,12593,FALSE
22,1,39128,1676,37452,FALSE
23,0,13818,849,12969,FALSE
23,1,41062,1700,39362,FALSE
24,0,13527,809,12718,FALSE
24,1,41619,1900,39719,FALSE
25,0,12883,830,12053,FALSE
25,1,40032,1783,38249,FALSE
26,0,11897,775,11122,FALSE
26,1,37241,1708,35533,FALSE
27,0,11028,737,10291,FALSE
27,1,34036,1699,32337,FALSE
28,0,10565,737,9828,FALSE
28,1,31056,1565,29491,FALSE
29,0,9925,698,9227,FALSE
29,1,28161,1540,26621,FALSE
30,0,9088,632,8456,FALSE
30,1,25040,1412,23628,FALSE
31,0,8077,619,7458,FALSE
31,1,22551,1303,21248,FALSE
32,0,6986,560,6426,FALSE
32,1,19586,1227,18359,FALSE
33,0,6200,471,5729,FALSE
33,1,16740,1070,15670,FALSE
34,0,5319,441,4878,FALSE
34,1,14179,1032,13147,FALSE
35,0,4166,337,3829,FALSE
35,1,11648,849,10799,FALSE
36,0,3204,253,2951,FALSE
36,1,9070,719,8351,FALSE
37,0,2377,231,2146,FALSE
37,1,6989,591,6398,FALSE
38,0,1707,154,1553,FALSE
38,1,5101,416,4685,FALSE
39,0,1233,128,1105,FALSE
39,1,3868,318,3550,FALSE
40,0,820,77,743,FALSE
40,1,2681,271,2410,FALSE
41,0,488,52,436,FALSE
41,1,1718,163,1555,FALSE
42,0,364,32,332,FALSE
42,1,1126,107,1019,FALSE
43,0,188,27,161,FALSE
43,1,667,83,584,FALSE
44,0,105,14,91,TRUE
44,1,370,35,335,FALSE
45,0,52,1,51,TRUE
45,1,174,14,160,TRUE
