age,A,n,events,non_events,sparse
15,0,365,23,342,FALSE
15,1,834,56,778,FALSE
16,0,1295,91,1204,FALSE
16,1,2875,169,2706,FALSE
17,0,3227,236,2991,FALSE
17,1,8005,529,7476,FALSE
18,0,8463,673,7790,FALSE
18,1,21459,1496,19963,FALSE
19,0,17932,1604,16328,FALSE
19,1,42842,3023,39819,FALSE
20,0,23715,2090,21625,FALSE
20,1,58490,4011,54479,FALSE
21,0,26823,2329,24494,FALSE
21,1,69917,4727,65190,FALSE
22,0,30257,2659,27598,FALSE
22,1,80425,5299,75126,FALSE
23,0,31668,2780,28888,FALSE
23,1,87579,5763,81816,FALSE
24,0,32386,2820,29566,FALSE
24,1,93039,6182,86857,FALSE
25,0,32961,2925,30036,FALSE
25,1,97544,6468,91076,FALSE
26,0,32733,2976,29757,FALSE
26,1,99144,6873,92271,FALSE
27,0,32162,2990,29172,FALSE
27,1,98722,6991,91731,FALSE
28,0,30676,2862,27814,FALSE
28,1,96204,7173,89031,FALSE
29,0,29090,2859,26231,FALSE
29,1,91192,7286,83906,FALSE
30,0,26883,2740,24143,FALSE
30,1,84694,7017,77677,FALSE
31,0,24610,2547,22063,FALSE
31,1,77417,6800,70617,FALSE
32,0,22087,2312,19775,FALSE
32,1,69677,6408,63269,FALSE
33,0,19529,2116,17413,FALSE
33,1,61869,6013,55856,FALSE
34,0,17034,1933,15101,FALSE
34,1,53713,5490,48223,FALSE
35,0,14264,1617,12647,FALSE
35,1,45520,4904,40616,FALSE
36,0,12060,1472,10588,FALSE
36,1,38240,4272,33968,FALSE
37,0,9219,1121,8098,FALSE
37,1,30363,3596,26767,FALSE
38,0,6970,885,6085,FALSE
38,1,23415,3000,20415,FALSE
39,0,5155,701,4454,FALSE
39,1,17682,2324,15358,FALSE
40,0,3557,513,3044,FALSE
40,1,12296,1686,10610,FALSE
41,0,2237,352,1885,FALSE
41,1,8133,1142,6991,FALSE
42,0,1340,200,1140,FALSE
42,1,4893,769,4124,FALSE
43,0,757,120,637,FALSE
43,1,2516,379,2137,FALSE
44,0,384,65,319,FALSE
44,1,1320,233,1087,FALSE
45,0,177,23,154,FALSE
45,1,524,79,445,FALSE
