model_id,note,eligible_n,fit_n,events,A0,A1,reference_n,risk0_per1000,risk0_lower_per1000,risk0_upper_per1000,risk1_per1000,risk1_lower_per1000,risk1_upper_per1000,rr,rr_lower,rr_upper,rd_per1000,rd_lower_per1000,rd_upper_per1000,covariates,root_finding,elapsed_seconds,fitted_null_ages,n_roots,unique_regular_interior_root,full_95_fixed_null_age_set,simultaneous_strict_negative,simultaneous_strict_positive,simultaneous_reversal,omnibus_statistic,omnibus_df,omnibus_p,crossover_age,delta_lower,delta_upper,regular_delta,status
supp_3lvl_continued_vs_none,continued by T1 vs no early smoking; common reference,31362709,29576508,2447683,28095965,1480543,30076524,82.967867551339,82.8676409398977,83.068204405155,83.8915977564163,83.419506970996,84.3661143029713,1.01113358981422,1.00529427522013,1.01700682243189,0.923730205077369,0.438102373010561,1.40935803714418,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,771.391000032425,29.380,1,TRUE,"[29.074, 29.671]","[15.000, 28.851)","(29.866, 45.000]",TRUE,2021.6583009682,4,0,29.3800302864542,29.0822268750111,29.6778336978972,TRUE,regular_local_implicit_delta_secondary
supp_3lvl_stopped_vs_none,stopped by T1 vs no early smoking; common reference,31362709,28595981,2376159,28095965,500016,30076524,82.9790062113439,82.8787741828154,83.0793484777474,89.0537475199412,88.2709481864204,89.8428047592762,1.07320817139127,1.06368162620244,1.08282003822241,6.07474130859734,5.28172335464515,6.86775926254953,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,758.062875032425,21.255,1,TRUE,"[15.000, 17.329] U [18.928, 23.273]",Empty,"(24.394, 44.703)",FALSE,148.260785121204,4,4.80170226538134e-31,21.2553505901332,19.2670715428533,23.2436296374131,TRUE,regular_local_implicit_delta_secondary
supp_clean_broad,M2 with reference zero in every recorded window,31362709,29562280,2446562,28081737,1480543,29562280,82.8191722366701,82.7191724199877,82.9192820157475,83.7941686740172,83.3216910163732,84.2690792325096,1.01177259336233,1.00592206758281,1.01765714628272,0.974996437347123,0.489316478666243,1.460676396028,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,803.961811065674,29.381,1,TRUE,"[29.076, 29.671]","[15.000, 28.853)","(29.866, 45.000]",TRUE,2024.16279192849,4,0,29.3811659181766,29.0835568154018,29.6787750209515,TRUE,regular_local_implicit_delta_secondary
supp_clean_prepregnancy,M3 with reference zero in every recorded window,31362709,30066665,2495593,28082611,1984054,30066665,82.9647184808932,82.864470708746,83.0650765466418,85.4955008949484,85.0865849612086,85.9061975062656,1.0305043211186,1.02539918171553,1.03563487740203,2.53078241405522,2.10697577315907,2.95458905495136,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,829.087380886078,28.578,1,TRUE,"[28.229, 28.906]","[15.000, 27.976)","(29.124, 45.000]",TRUE,1886.57351533838,4,0,28.5775300876233,28.2386976513061,28.9163625239406,TRUE,regular_local_implicit_delta_secondary
supp_pdose_11_20,prepregnancy dose 11-20 vs 0,31362709,28777284,2384418,28113111,664173,30097165,82.9765147092056,82.8763125521252,83.0768270420988,84.4853626402282,83.7976599935068,85.1781843650007,1.01818403600477,1.00979383952305,1.02664394512906,1.50884793102263,0.810061636880723,2.20763422516453,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,786.681841135025,28.978,1,TRUE,"[28.530, 29.396]","(15.983, 28.201)","(29.671, 43.980)",TRUE,832.291439373608,4,7.77137854511781e-179,28.9784365663584,28.5459624253344,29.4109107073824,TRUE,regular_local_implicit_delta_secondary
supp_pdose_1_5,prepregnancy dose 1-5 vs 0,31362709,28647433,2376461,28113111,534322,30097165,82.9781171289302,82.8779148955275,83.0784295359526,87.8046159628249,87.026874134062,88.5886338842752,1.05816592375066,1.04870117403285,1.06771609483486,4.82649883389476,4.03840824615849,5.61458942163103,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,799.329812049866,26.493,1,TRUE,"[25.549, 27.479]","[15.000, 24.863)","(28.121, 45.000]",TRUE,449.801808938747,4,4.79397962246176e-96,26.4927307342038,25.5179353208082,27.4675261475995,TRUE,regular_local_implicit_delta_secondary
supp_pdose_21plus,prepregnancy dose 21+ vs 0,31362709,28234420,2339051,28113111,121309,30097165,82.9816933597926,82.8814874062072,83.0820094899137,81.9022333182137,80.3139783532768,83.5190446353839,0.986991588169953,0.96782544640402,1.00653728287238,-1.07946004157884,-2.68563230568557,0.526712222527882,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,778.285960912705,30.408,1,TRUE,"[29.132, 31.596]","(16.378, 28.061)","(32.667, 42.526)",TRUE,142.560398330833,4,7.98770788451962e-30,30.4077018456286,29.2440661370862,31.571337554171,TRUE,regular_local_implicit_delta_secondary
supp_pdose_6_10,prepregnancy dose 6-10 vs 0,31362709,28777361,2385072,28113111,664250,30097165,82.977014447542,82.8768124156976,83.0773266541874,84.6883571555911,84.005847036948,85.3758955309827,1.02062429842099,1.01229662506803,1.02902047950356,1.7113427080491,1.01782928890668,2.40485612719151,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,800.416588068008,29.148,1,TRUE,"[28.581, 29.654]","[15.000, 28.147)","(29.981, 45.000]",TRUE,620.684001518406,4,5.1691517209691e-133,29.1476308836183,28.6130858036413,29.6821759635953,TRUE,regular_local_implicit_delta_secondary
supp_preterm_broad,control outcome preterm <37 wk; broad population,30830035,29576508,2351936,28095965,1480543,29576508,77.8220274041873,77.7237574512486,77.9204111073324,110.182838876647,109.661434665586,110.706413937133,1.41583099993509,1.40886513742829,1.42283130380834,32.3608114724595,31.8271972687019,32.8944256762171,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,749.060707807541,"",0,FALSE,Empty,Empty,"[15.000, 45.000]",FALSE,845.69386323415,4,9.70778059868972e-182,,,,,
supp_preterm_prepregnancy,control outcome preterm <37 wk; prepregnancy population,31362709,30097165,2395589,28113111,1984054,30097165,77.9420468721117,77.8436079287332,78.0405997639279,102.473547689935,102.036391947554,102.912361696299,1.31474026924229,1.3088574468896,1.32064953267068,24.5315008178234,24.0803935995238,24.9826080361231,year_factor; race_ethnicity; prepreg_diabetes; prior_living4; education4; bmi; prior_preterm; prior_cesarean; nativity,TRUE,804.8656270504,"",0,FALSE,Empty,Empty,"[15.000, 45.000]",FALSE,1112.65304298695,4,1.36952917761905e-239,,,,,
